period_start,order_count,total_kwh,total_fees,data_version
2015-09-13,51,391.84000000,19.86000000,2.2.0
2015-09-14,40,265.47000000,13.98000000,2.2.0
2015-09-15,47,336.17000000,26.44000000,2.2.0
2015-09-16,37,303.67000000,11.02000000,2.2.0
2015-09-17,39,236.05000000,0.54000000,2.2.0
2015-09-18,37,283.20000000,2.70000000,2.2.0
2015-09-19,38,296.28000000,1.95000000,2.2.0
2015-09-20,46,373.89000000,7.28000000,2.2.0
2015-09-21,38,287.37000000,0.90000000,2.2.0
2015-09-22,52,354.31000000,10.31000000,2.2.0
2015-09-23,43,328.48000000,4.17000000,2.2.0
2015-09-24,32,265.27000000,1.71000000,2.2.0
2015-09-25,38,266.02000000,8.86000000,2.2.0
2015-09-26,43,281.63000000,2.95000000,2.2.0
2015-09-27,34,237.70000000,8.91000000,2.2.0
2015-09-28,25,217.96000000,6.03000000,2.2.0
2015-10-01,4,23.31000000,0E-8,2.2.0
2015-10-02,6,28.95000000,0E-8,2.2.0
2015-10-03,5,50.57000000,0.03000000,2.2.0
2015-10-04,9,65.57000000,2.06000000,2.2.0
2015-10-05,7,57.24000000,8.11000000,2.2.0
2015-10-06,4,36.39000000,0.19000000,2.2.0
2015-10-07,5,35.73000000,0E-8,2.2.0
2015-10-08,7,46.39000000,0E-8,2.2.0
2015-10-09,2,11.60000000,0.33000000,2.2.0
2015-10-10,2,12.72000000,0E-8,2.2.0
2015-10-11,4,22.33000000,0E-8,2.2.0
2015-10-12,2,5.79000000,0.43000000,2.2.0
2015-10-13,5,33.37000000,0E-8,2.2.0
2015-10-14,7,38.49000000,0E-8,2.2.0
2015-10-15,2,31.72000000,0E-8,2.2.0
2015-10-16,9,53.49000000,0E-8,2.2.0
2015-10-17,3,29.80000000,2.17000000,2.2.0
2015-10-18,3,22.39000000,0E-8,2.2.0
2015-10-19,5,27.00000000,0E-8,2.2.0
2015-10-20,6,48.86000000,0.89000000,2.2.0
2015-10-21,9,46.48000000,8.57000000,2.2.0
2015-10-22,3,14.56000000,0.29000000,2.2.0
2015-10-23,3,23.49000000,6.21000000,2.2.0
2015-10-24,3,12.08000000,0E-8,2.2.0
2015-10-25,7,43.09000000,0E-8,2.2.0
2015-10-26,10,78.98000000,8.08000000,2.2.0
2015-10-27,6,25.80000000,7.50000000,2.2.0
2015-10-28,3,19.30000000,0E-8,2.2.0
2015-11-03,1,3.90000000,0E-8,2.2.0
2015-11-04,1,7.19000000,0E-8,2.2.0
2015-11-05,1,3.44000000,0E-8,2.2.0
2015-11-06,1,4.01000000,0E-8,2.2.0
2015-11-08,1,3.72000000,0E-8,2.2.0
2015-11-09,1,5.58000000,7.50000000,2.2.0
2015-11-10,1,4.36000000,0E-8,2.2.0
2015-11-11,1,6.40000000,0E-8,2.2.0
2015-11-12,1,6.72000000,0E-8,2.2.0
2015-11-13,1,6.04000000,0E-8,2.2.0
2015-11-14,1,1.87000000,0E-8,2.2.0
2015-11-17,1,1.38000000,0E-8,2.2.0
2015-11-18,2,6.22000000,0.10000000,2.2.0
2015-11-19,2,10.09000000,0E-8,2.2.0
2015-11-20,1,1.44000000,0E-8,2.2.0
2015-11-21,1,3.31000000,0E-8,2.2.0
2015-11-23,1,0.17000000,0E-8,2.2.0
2015-11-24,2,17.38000000,0.43000000,2.2.0
2015-12-01,1,6.60000000,0E-8,2.2.0
2015-12-02,1,6.95000000,0E-8,2.2.0
2015-12-04,1,3.62000000,0E-8,2.2.0
2015-12-05,1,1.89000000,0E-8,2.2.0
2015-12-06,1,10.70000000,0E-8,2.2.0
2015-12-08,1,8.16000000,0E-8,2.2.0
2015-12-09,2,17.49000000,0E-8,2.2.0
2015-12-15,1,6.92000000,0E-8,2.2.0
2015-12-18,1,5.53000000,0E-8,2.2.0
2015-12-22,1,4.37000000,0E-8,2.2.0
2015-12-24,4,34.97000000,0E-8,2.2.0
2015-12-25,1,1.83000000,0E-8,2.2.0
2015-12-26,1,1.46000000,0.23000000,2.2.0
2015-12-27,1,7.20000000,0E-8,2.2.0
2015-12-28,1,1.49000000,0E-8,2.2.0
